date,mandi,variety,modal_price
2022-01-01,Raipur,Common,2249
2022-01-02,Raipur,Common,2224
2022-01-03,Raipur,Common,2208
2022-01-04,Raipur,Common,2209
2022-01-05,Raipur,Common,2170
2022-01-06,Raipur,Common,2210
2022-01-07,Raipur,Common,2211
2022-01-08,Raipur,Common,2223
2022-01-09,Raipur,Common,2224
2022-01-10,Raipur,Common,2239
2022-01-11,Raipur,Common,2234
2022-01-12,Raipur,Common,2246
2022-01-13,Raipur,Common,2257
2022-01-14,Raipur,Common,2265
2022-01-15,Raipur,Common,2255
2022-01-16,Raipur,Common,2273
2022-01-17,Raipur,Common,2272
2022-01-18,Raipur,Common,2276
2022-01-19,Raipur,Common,2278
2022-01-20,Raipur,Common,2294
2022-01-21,Raipur,Common,2270
2022-01-22,Raipur,Common,2284
2022-01-23,Raipur,Common,2285
2022-01-24,Raipur,Common,2265
2022-01-25,Raipur,Common,2283
2022-01-26,Raipur,Common,2294
2022-01-27,Raipur,Common,2289
2022-01-28,Raipur,Common,2268
2022-01-29,Raipur,Common,2257
2022-01-30,Raipur,Common,2243
2022-01-31,Raipur,Common,2267
2022-02-01,Raipur,Common,2248
2022-02-02,Raipur,Common,2256
2022-02-03,Raipur,Common,2214
2022-02-04,Raipur,Common,2216
2022-02-05,Raipur,Common,2236
2022-02-06,Raipur,Common,2231
2022-02-07,Raipur,Common,2200
2022-02-08,Raipur,Common,2194
2022-02-09,Raipur,Common,2201
2022-02-10,Raipur,Common,2196
2022-02-11,Raipur,Common,2191
2022-02-12,Raipur,Common,2191
2022-02-13,Raipur,Common,2190
2022-02-14,Raipur,Common,2173
2022-02-15,Raipur,Common,2180
2022-02-16,Raipur,Common,2194
2022-02-17,Raipur,Common,2206
2022-02-18,Raipur,Common,2190
2022-02-19,Raipur,Common,2190
2022-02-20,Raipur,Common,2215
2022-02-21,Raipur,Common,2193
2022-02-22,Raipur,Common,2201
2022-02-23,Raipur,Common,2192
2022-02-24,Raipur,Common,2206
2022-02-25,Raipur,Common,2206
2022-02-26,Raipur,Common,2223
2022-02-27,Raipur,Common,2235
2022-02-28,Raipur,Common,2229
2022-03-01,Raipur,Common,2233
2022-03-02,Raipur,Common,2224
2022-03-03,Raipur,Common,2235
2022-03-04,Raipur,Common,2228
2022-03-05,Raipur,Common,2205
2022-03-06,Raipur,Common,2194
2022-03-07,Raipur,Common,2214
2022-03-08,Raipur,Common,2219
2022-03-09,Raipur,Common,2217
2022-03-10,Raipur,Common,2202
2022-03-11,Raipur,Common,2173
2022-03-12,Raipur,Common,2176
2022-03-13,Raipur,Common,2177
2022-03-14,Raipur,Common,2151
2022-03-15,Raipur,Common,2149
2022-03-16,Raipur,Common,2166
2022-03-17,Raipur,Common,2165
2022-03-18,Raipur,Common,2162
2022-03-19,Raipur,Common,2166
2022-03-20,Raipur,Common,2170
2022-03-21,Raipur,Common,2178
2022-03-22,Raipur,Common,2167
2022-03-23,Raipur,Common,2165
2022-03-24,Raipur,Common,2138
2022-03-25,Raipur,Common,2114
2022-03-26,Raipur,Common,2112
2022-03-27,Raipur,Common,2107
2022-03-28,Raipur,Common,2095
2022-03-29,Raipur,Common,2078
2022-03-30,Raipur,Common,2097
2022-03-31,Raipur,Common,2099
2022-04-01,Raipur,Common,2077
2022-04-02,Raipur,Common,2048
2022-04-03,Raipur,Common,2071
